	mass D						
t	x	y	vx	vy	ax	ay	
0.083	0.435	-0.153				
0.100	0.438	-0.159	0.191	-0.364		
0.117	0.441	-0.165	0.174	-0.405	-1.330	-1.969
0.133	0.443	-0.172	0.140	-0.430	-1.861	-1.263
0.150	0.446	-0.179	0.115	-0.446	-1.599	-0.602
0.167	0.447	-0.187	8.558E-2	-0.451	-1.925	-0.130
0.184	0.448	-0.195	5.192E-2	-0.449	-1.136	6.715
0.200	0.449	-0.202	4.257E-2	-0.255	0.107	10.94
0.217	0.450	-0.203	6.020E-2	-3.266E-2	0.815	8.615
0.234	0.451	-0.203	7.004E-2	1.115E-2	-6.639E-2	1.454
0.250	0.452	-0.203	5.952E-2	1.732E-2	-1.943	6.051E-2
0.267	0.453	-0.203	6.795E-3	8.489E-3	-2.457	-0.194
0.284	0.452	-0.202	-3.208E-2	1.167E-2	-0.671	0.187
0.300	0.452	-0.202	-1.237E-2	1.553E-2	1.463	7.694E-2
0.317	0.452	-0.202	2.009E-2	1.427E-2	1.289	-0.183
0.334	0.453	-0.202	3.206E-2	9.213E-3	7.459E-2	-0.262
0.350	0.453	-0.202	2.146E-2	5.061E-3	-0.365	0.163
0.367	0.453	-0.201	1.690E-2	1.343E-2	-0.229	0.429
0.384	0.454	-0.201	1.700E-2	2.231E-2	0.224	0.277
0.400	0.454	-0.201	2.128E-2	2.125E-2	0.335	-0.199
0.417	0.454	-0.200	3.109E-2	1.626E-2	0.308	-0.228
0.434	0.455	-0.200	3.088E-2	1.234E-2	-0.128	-9.955E-2
0.450	0.455	-0.200	2.666E-2	1.364E-2	-0.242	2.532E-2
0.467	0.456	-0.200	2.240E-2	1.344E-2	-4.426E-2	4.557E-2
0.484	0.456	-0.200	2.464E-2	1.451E-2	0.358	9.184E-3
0.501	0.457	-0.199	3.471E-2	1.471E-2	0.304	-0.129
0.517	0.457	-0.199	3.671E-2	9.852E-3	-4.005E-2	-5.049E-2
0.534	0.458	-0.199	3.136E-2	1.170E-2	0.148	-2.553E-2
0.551	0.458	-0.199	4.055E-2	1.156E-2	-1.501E-3	-8.884E-2
0.567	0.459	-0.199	3.640E-2	6.582E-3	-0.392	-0.139
0.584	0.460	-0.198	2.195E-2	7.527E-3	-0.701	-0.149
0.601	0.460	-0.198	1.587E-2	2.665E-3	-0.333	-0.230
0.617	0.460	-0.198	9.260E-3	-2.052E-3	-0.232	-0.145
0.634	0.460	-0.198	8.773E-3	-1.059E-3	-4.246E-2	2.839E-2
0.651	0.460	-0.198	8.109E-3	-1.237E-3	1.260E-2	-4.916E-2
0.667	0.461	-0.198	8.721E-3	-2.569E-3	3.549E-2	-2.501E-2
0.684	0.461	-0.198	9.871E-3	-2.558E-3	-3.877E-2	4.979E-2
0.701	0.461	-0.199	7.438E-3	-5.185E-4	-0.163	4.286E-2
0.717	0.461	-0.198	4.033E-3	-8.841E-4	-0.144	1.996E-3
0.734	0.461	-0.199	2.583E-3	-1.066E-3	-4.331E-2	1.139E-2
0.751	0.461	-0.199	2.681E-3	-3.690E-5	1.278E-2	7.375E-2
0.767	0.461	-0.199	3.093E-3	1.087E-3	-2.912E-2	9.467E-2
0.784	0.461	-0.198	1.899E-3	3.289E-3	3.103E-2	1.865E-2
0.801	0.461	-0.198	3.333E-3	2.170E-3	-6.078E-2	-7.063E-2
0.817	0.461	-0.198	1.507E-3	1.287E-4	-8.387E-2	-5.041E-2
0.834	0.461	-0.198	-1.411E-3	7.760E-4	-1.314E-2	5.560E-2
0.851	0.461	-0.198	1.960E-3	1.998E-3	2.254E-2	0.104
0.868	0.461	-0.198	9.634E-5	4.185E-3	-1.354	0.240
0.884	0.461	-0.198	-3.934E-2	9.737E-3	-0.660	8.107E-2
0.901	0.460	-0.198	-3.710E-2	8.599E-3	0.724	-0.186
0.918	0.460	-0.198	8.452E-4	1.703E-3	1.317	-0.239
0.934	0.460	-0.198	1.262E-3	8.026E-4	0.131	-3.981E-2
0.951	0.460	-0.198	4.976E-3	9.229E-4	0.216	3.189E-2
0.968	0.460	-0.198	9.127E-3	1.412E-3	0.194	5.454E-2
0.984	0.460	-0.198	1.114E-2	3.081E-3	6.814E-2	-1.111E-2
1.001	0.460	-0.198	1.161E-2	1.356E-3	-3.576E-2	-2.940E-2
1.018	0.461	-0.198	9.838E-3	1.092E-3	9.335E-3	0.224
1.034	0.461	-0.198	1.126E-2	8.888E-3	0.236	0.344
1.051	0.461	-0.198	1.806E-2	1.405E-2	-0.108	-3.328E-2
1.068	0.461	-0.197	1.016E-2	7.597E-3	-0.331	-0.477
1.084	0.461	-0.197	2.367E-3	-2.797E-3	-3.355E-2	-0.326
1.101	0.462	-0.197	1.130E-2	-4.211E-3	0.798	3.525E-2
1.118	0.462	-0.197	2.802E-2	-1.832E-4	0.893	0.104
1.134	0.462	-0.197	4.338E-2	-7.517E-4	0.429	0.159
1.151	0.463	-0.197	4.220E-2	3.749E-3	-0.482	0.108
1.168	0.464	-0.197	2.706E-2	5.368E-3	-0.967	0.181
1.185	0.464	-0.197	8.647E-3	6.871E-3	-1.060	0.598
1.201	0.464	-0.197	-7.767E-3	2.573E-2	-0.802	1.300
1.218	0.464	-0.196	-1.909E-2	5.136E-2	-0.961	1.448
1.235	0.463	-0.195	-3.719E-2	7.430E-2	-0.738	1.319
1.251	0.463	-0.194	-4.833E-2	9.503E-2	-0.135	0.980
1.268	0.462	-0.192	-3.899E-2	0.108	0.482	0.418
1.285	0.461	-0.190	-3.173E-2	0.109	0.512	0.165
1.301	0.461	-0.189	-2.297E-2	0.112	0.677	0.347
1.318	0.461	-0.187	-8.671E-3	0.121	0.570	0.470
1.335	0.461	-0.185	-2.467E-3	0.128	0.304	0.464
1.351	0.460	-0.182	-5.576E-4	0.136	0.591	0.533
1.368	0.461	-0.180	1.649E-2	0.146	0.916	0.487
1.385	0.461	-0.177	3.300E-2	0.152	1.078	0.292
1.401	0.462	-0.175	4.940E-2	0.156	0.857	0.305
1.418	0.463	-0.172	6.479E-2	0.162	0.721	0.390
1.435	0.464	-0.169	7.138E-2	0.169	0.240	0.583
1.451	0.465	-0.167	7.415E-2	0.181	0.439	0.367
1.468	0.466	-0.163	8.322E-2	0.184	0.700	0.355
1.485	0.468	-0.160	0.100	0.189	0.562	0.158
1.502	0.470	-0.157	0.103	0.193	0.584	-5.284E-2
1.518	0.471	-0.154	0.115	0.185	0.217	-0.788
1.535	0.473	-0.151	0.117	0.168	0.150	-1.104
1.552	0.475	-0.148	0.112	0.146	-0.175	-1.017
1.568	0.477	-0.146	0.117	0.134	-8.223E-2	-0.683
1.585	0.479	-0.144	0.107	0.125	0.121	-0.436
1.602	0.481	-0.142	0.118	0.118	0.737	-0.438
1.618	0.483	-0.140	0.136	0.112	0.485	-0.692
1.635	0.485	-0.138	0.134	9.512E-2	9.410E-2	-0.978
1.652	0.487	-0.137	0.137	7.786E-2	0.222	-0.982
1.668	0.490	-0.136	0.144	6.317E-2	0.447	-1.014
1.685	0.492	-0.135	0.150	4.418E-2	0.435	-0.833
1.702	0.495	-0.134	0.160	3.341E-2	0.128	-0.614
1.718	0.498	-0.134	0.156	2.628E-2	-0.109	-0.524
1.735	0.500	-0.133	0.152	1.451E-2	0.264	-0.572
1.752	0.503	-0.133	0.166	7.289E-3	0.849	-0.394
1.768	0.506	-0.133	0.181	1.681E-3	0.701	-0.328
1.785	0.509	-0.133	0.190	-3.746E-3	0.987	-0.466
1.802	0.512	-0.133	0.211	-1.318E-2	0.465	-0.531
1.818	0.516	-0.133	0.213	-2.274E-2	0.768	-0.910
1.835	0.519	-0.134	0.225	-4.104E-2	0.416	-0.810
1.852	0.523	-0.135	0.240	-5.424E-2	0.957	-0.727
1.869	0.527	-0.136	0.246	-6.101E-2	0.505	-0.646
1.885	0.531	-0.137	0.265	-7.774E-2	0.885	-0.661
1.902	0.536	-0.138	0.271	-8.404E-2	0.380	-0.665
1.919	0.541	-0.140	0.279	-9.658E-2	0.362	-0.603
1.935	0.545	-0.142	0.282	-0.108	-7.537E-2	-0.793
1.952	0.550	-0.143	0.278	-0.119	-0.387	-0.692
1.969	0.554	-0.146	0.268	-0.135	-1.101	-0.542
1.985	0.559	-0.148	0.244	-0.137	-0.874	-0.294
2.002	0.563	-0.150	0.233	-0.142	-0.568	-0.565
2.019	0.567	-0.153	0.231	-0.157	-0.242	-0.635
2.035	0.570	-0.155	0.221	-0.164	-0.533	-0.526
2.052	0.574	-0.158	0.215	-0.173	-0.457	-0.491
2.069	0.578	-0.161	0.205	-0.183	-1.160	-0.910
2.085	0.581	-0.164	0.178	-0.200	-1.190	-1.389
2.102	0.583	-0.168	0.160	-0.231	-1.356	-2.234
2.119	0.586	-0.172	0.140	-0.273	-1.539	-2.360
2.135	0.588	-0.177	0.104	-0.313	-1.910	-2.254
2.152	0.590	-0.182	7.723E-2	-0.345	-1.739	-1.522
2.169	0.591	-0.188	4.674E-2	-0.367	-9.663E-2	2.708
2.186	0.591	-0.195	6.562E-2	-0.268	-0.140	8.157
2.202	0.593	-0.197	6.088E-2	-7.788E-2	3.285	8.111
2.219	0.593	-0.197	0.141	1.279E-2	2.389	3.024
2.236	0.598	-0.197	0.191	1.197E-2	-1.050	-0.115
2.252	0.600	-0.197	7.482E-2	7.466E-3	-5.711	-0.151
2.269	0.600	-0.197	1.770E-3	7.273E-3	-2.855	0.109
2.286	0.600	-0.197	-2.230E-2	1.082E-2	-0.279	6.327E-2
2.302	0.599	-0.196	-4.648E-3	1.071E-2	1.278	-0.109
2.319	0.600	-0.196	2.210E-2	5.986E-3	0.921	-0.165
2.336	0.600	-0.196	2.852E-2	5.174E-3	-0.276	2.977E-2
2.352	0.600	-0.196	1.096E-2	7.167E-3	-0.822	0.195
2.369	0.600	-0.196	-1.183E-3	1.155E-2	-0.301	0.243
2.386	0.600	-0.196	1.824E-3	1.575E-2	0.437	5.213E-2
2.402	0.601	-0.195	1.343E-2	1.367E-2	0.647	-0.339
2.419	0.601	-0.195	2.464E-2	4.231E-3	0.373	-0.362
2.436	0.601	-0.195	2.599E-2	1.247E-5	3.414E-2	-0.165
2.452	0.602	-0.195	2.464E-2	3.748E-4	-9.490E-2	-4.283E-3
2.469	0.602	-0.195	2.354E-2	-8.990E-4	-4.739E-2	-6.070E-2
2.486	0.603	-0.195	2.239E-2	-1.248E-3	-0.122	-2.516E-2
2.503	0.603	-0.195	2.027E-2	-1.958E-3	-4.563E-2	6.900E-2
2.519	0.603	-0.195	1.970E-2	7.358E-4	-1.260E-2	3.843E-2
2.536	0.604	-0.195	2.097E-2	5.421E-4	-3.305E-2	8.395E-3
2.553	0.604	-0.195	1.830E-2	-4.935E-4	-0.124	-5.087E-2
2.569	0.604	-0.195	1.644E-2	1.356E-5	-0.143	-1.200E-2
2.586	0.604	-0.195	1.410E-2	-1.547E-3	-0.217	-5.501E-2
2.603	0.605	-0.195	8.974E-3	-1.670E-3	-7.686E-2	-4.895E-3
2.619	0.605	-0.195	1.043E-2	-1.674E-3	6.737E-2	-1.170E-2
2.636	0.605	-0.195	1.309E-2	-2.029E-3	-2.057E-2	-3.266E-2
2.653	0.605	-0.195	9.012E-3	-2.787E-3	-0.119	-5.295E-2
2.669	0.605	-0.195	8.399E-3	-3.795E-3	-6.817E-2	2.371E-2
2.686	0.605	-0.195	7.933E-3	-2.380E-3	8.218E-2	8.013E-2
2.703	0.606	-0.195	9.654E-3	-4.634E-4	1.645E-2	5.881E-2
2.719	0.606	-0.195	1.042E-2	-6.963E-4	-2.862E-2	1.810E-2
2.736	0.606	-0.195	7.196E-3	-1.759E-5	-0.193	4.685E-2
2.753	0.606	-0.195	4.786E-3	1.094E-3	-5.849E-2	5.538E-2
2.769	0.606	-0.195	4.272E-3	1.733E-3	-7.240E-2	8.108E-2
2.786	0.606	-0.195	3.631E-3	3.647E-3	0.160	4.963E-3
2.803	0.606	-0.195	7.669E-3	2.649E-3	0.102	-4.699E-2
2.819	0.606	-0.195	9.901E-3	1.005E-3	-5.871E-2	-3.014E-2
2.836	0.607	-0.195	3.772E-3	2.217E-3	-0.204	8.494E-2
2.853	0.607	-0.195	3.069E-3	3.643E-3	-1.799E-2	3.813E-2
2.870	0.607	-0.195	3.777E-3	3.885E-3	-9.365E-2	6.137E-3
2.886	0.607	-0.195	1.586E-4	3.388E-3	-4.841E-2	-0.153
2.903	0.607	-0.195	7.299E-4	-3.947E-4	0.339	0.151
2.920	0.607	-0.195	1.199E-2	5.725E-3	0.417	0.255
2.936	0.607	-0.195	1.663E-2	1.219E-2	-6.961E-2	0.106
2.953	0.607	-0.195	8.565E-3	6.917E-3	-0.417	-0.213
2.970	0.607	-0.195	1.804E-3	5.235E-3	-0.274	-7.425E-2
2.986	0.607	-0.195	-1.831E-4	4.640E-3	-6.901E-2	9.018E-3
3.003	0.607	-0.194	-4.623E-4	5.310E-3	1.987E-2	-6.118E-2
3.020	0.607	-0.194	5.093E-4	3.378E-3	-0.132	-0.259
3.036	0.607	-0.194	-3.950E-3	-3.736E-3	-0.389	-9.168E-2
3.053	0.607	-0.195	-1.346E-2	-1.366E-3	0.101	0.318
3.070	0.607	-0.194	-3.157E-3	8.793E-3	-0.237	-0.182
3.086	0.607	-0.194	-1.307E-2	-4.855E-3	0.181	-0.339
3.103	0.606	-0.195	-1.013E-2	-9.768E-3	0.544	0.195
3.120	0.607	-0.195	1.655E-2	7.033E-3	0.716	0.402
3.136	0.607	-0.194	1.039E-2	4.166E-3	-0.298	-0.135
3.153	0.607	-0.194	5.155E-3	-5.434E-4	-0.202	2.933E-2
3.170	0.607	-0.194	4.559E-3	6.307E-3	-0.521	0.408
3.187	0.607	-0.194	-1.043E-2	1.352E-2	-1.045	0.665
3.203	0.607	-0.194	-3.308E-2	2.718E-2	-0.708	1.108
3.220	0.606	-0.193	-3.529E-2	5.124E-2	-0.395	1.313
3.237	0.606	-0.192	-4.153E-2	7.219E-2	-0.309	1.310
